course,instructor,semester,Instructor.AskingClickerQuestion,Instructor.GivingFeedback,Instructor.Lecturing,Instructor.MovingThroughGroup,Instructor.WritingOnBoard,Student.AnsweringQuestion,Student.AskingQuestion,Students.GroupWork,EffectSize.StudentPerformance
11,A,1,0.319148936170213,0.48936170212766,0.542553191489362,0.159574468085106,0.0425531914893617,0.223404255319149,0.202127659574468,0.553191489361702,2.91
11,B,1,0.3046875,0.1015625,0.8671875,0.0625,0,0.0390625,0.09375,0.3046875,1.51
11,C,1,0.350877192982456,0.350877192982456,0.56140350877193,0.157894736842105,0,0.263157894736842,0.157894736842105,0.614035087719298,2.65
11,D,1,0.390243902439024,0.536585365853659,0.609756097560976,0.170731707317073,0.024390243902439,0.268292682926829,0.292682926829268,0.463414634146341,2.75
12,E,2,0.0759493670886076,0.582278481012658,0.329113924050633,0.227848101265823,0.367088607594937,0.30379746835443,0.164556962025316,0.291139240506329,1.36
12,F,1,0,0.434782608695652,0.391304347826087,0.304347826086957,0.739130434782609,0.173913043478261,0,0.391304347826087,1.41
12,G,1,0.0625,0.651785714285714,0.116071428571429,0.303571428571429,0.303571428571429,0.473214285714286,0.205357142857143,0.410714285714286,0.97
12,G,2,0.166666666666667,0.472222222222222,0.194444444444444,0.25,0.25,0.180555555555556,0.0277777777777778,0.472222222222222,1.77
12,H,2,0.5,0.6,0.414285714285714,0.157142857142857,0.3,0.157142857142857,0.128571428571429,0.514285714285714,1.05
12,I,2,0.205479452054795,0.547945205479452,0.219178082191781,0.273972602739726,0.561643835616438,0.328767123287671,0.0958904109589041,0.383561643835616,1.55
12,J,2,0.131578947368421,0.618421052631579,0.276315789473684,0.184210526315789,0.210526315789474,0.184210526315789,0.0789473684210526,0.381578947368421,1.26
12,K,2,0.253731343283582,0.343283582089552,0.343283582089552,0.283582089552239,0,0.223880597014925,0.0895522388059701,0.388059701492537,0.83
12,Y,1,0.0133333333333333,0.173333333333333,0.44,0.186666666666667,0.213333333333333,0.373333333333333,0.2,0.226666666666667,1.4
21,L,1,0.164179104477612,0.194029850746269,0.865671641791045,0.0447761194029851,0.149253731343284,0.134328358208955,0.0447761194029851,0.149253731343284,0.16
21,M,1,0.178082191780822,0.315068493150685,0.479452054794521,0.178082191780822,0,0.342465753424658,0.10958904109589,0.356164383561644,1.09
21,N,1,0.26865671641791,0.552238805970149,0.477611940298507,0.17910447761194,0,0.477611940298507,0.313432835820896,0.462686567164179,0.89
21,O,1,0.26865671641791,0.462686567164179,0.641791044776119,0.0447761194029851,0,0.328358208955224,0.0597014925373134,0.388059701492537,1.04
21,P,1,0.285714285714286,0.392857142857143,0.375,0.107142857142857,0.116071428571429,0.419642857142857,0.1875,0.401785714285714,0.96
22,P,2,0.328571428571429,0.671428571428571,0.457142857142857,0.2,0.271428571428571,0.328571428571429,0.0857142857142857,0.514285714285714,1.26
23,Q,1,0.252631578947368,0.357894736842105,0.473684210526316,0.0526315789473684,0.336842105263158,0.252631578947368,0.168421052631579,0.357894736842105,2.17
23,R,2,0.135135135135135,0.243243243243243,0.243243243243243,0.243243243243243,0.135135135135135,0.0675675675675676,0,0.540540540540541,1.12
24,S,2,0.136986301369863,0.150684931506849,0.767123287671233,0.0410958904109589,0,0.10958904109589,0.273972602739726,0.150684931506849,0.95
31,T,1,0.32,0.36,0.68,0,0,0.24,0.12,0.32,0.24
32,U,1,0,0,0.953846153846154,0,0.0307692307692308,0,0.0769230769230769,0,1.09
33,V,2,0.142857142857143,0.164285714285714,0.857142857142857,0,0,0.171428571428571,0.0928571428571429,0.142857142857143,1.01
34,G,1,0.087719298245614,0.368421052631579,0.56140350877193,0.184210526315789,0.228070175438596,0.43859649122807,0.245614035087719,0.385964912280702,0.48
35,P,2,0.101851851851852,0.268518518518519,0.37037037037037,0.351851851851852,0.0555555555555556,0.212962962962963,0.0740740740740741,0.638888888888889,0.69
41,W,1,0.028169014084507,0.23943661971831,0.112676056338028,0.0563380281690141,0.183098591549296,0.295774647887324,0.154929577464789,0.0563380281690141,0.65
42,X,1,0,0.5,0.243243243243243,0.0405405405405405,0,0.486486486486487,0.283783783783784,0.0405405405405405,0.4
43,Y,2,0,0.416666666666667,0.263888888888889,0.388888888888889,0.194444444444444,0.263888888888889,0.166666666666667,0.430555555555556,0.62
44,Z,2,0,0.0217391304347826,1,0,0,0.217391304347826,0.0434782608695652,0,0.98
